"-149","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-99","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-184","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-99","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-165","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-99","Fatura Agilize","2018-01-05 23:59:59","2018","1","Contabilidade"
"-1349.39","COFINS","2018-02-23 23:59:59","2018","2","COFINS"
"-321.96","ISSsao_paulo","2017-09-11 23:59:59","2017","9","ISS"
"-103.07","INSS","2017-09-20 23:59:59","2017","9","INSS"
"-2842.43","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
"-49","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-24","COFINS","2017-12-22 23:59:59","2017","12","COFINS"
"-1378.8","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-580.94","INSS","2017-10-20 23:59:59","2017","10","INSS"
"-7000","IRPJ","2017-10-31 23:59:59","2017","10","IRPJ"
"-96.06","DAS","2018-02-01 23:59:59","2018","1","Simples Nacional"
"-149","Fatura Agilize","2017-12-05 23:59:59","2017","12","Contabilidade"
"-149","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-109","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-199","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-109","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-149","Fatura Agilize","2017-12-26 23:59:59","2017","12","Contabilidade"
"-465","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-99","Fatura Agilize","2017-08-10 23:59:59","2017","8","Contabilidade"
"-310.62","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
"-99","Fatura Agilize","2017-08-07 23:59:59","2017","8","Contabilidade"
"-146.46","DAS","2018-02-20 23:59:59","2018","2","Simples Nacional"
"-20","Fatura Agilize","2018-02-20 23:59:59","2018","2","Contabilidade"
"-142.04","CEB","2017-11-03 13:52:35","2017","11","Luz"
"-527","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-950","ISSsao_paulo","2018-02-12 23:59:59","2018","2","ISS"
"-103.07","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-608.44","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-308","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-149","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-1123.2","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-604.5","INSS","2017-07-20 23:59:59","2017","7","INSS"
"-1436.75","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-385","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-968.86","IRPJFolha","2017-11-20 23:59:59","2017","11","IR retido do funcionário"
"-99","Fatura Agilize","2017-09-15 23:59:59","2017","9","Contabilidade"
"-99","Fatura Agilize","2017-11-20 23:59:59","2017","11","Contabilidade"
"-99","Fatura Agilize","2018-01-10 23:59:59","2018","1","Contabilidade"
"-159","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-14.63","PIS","2018-01-25 23:59:59","2018","1","PIS"
"-193.6","INSS","2017-09-20 23:59:59","2017","9","INSS"
"-99","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-279.44","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
"-3308.33","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-99","Fatura Agilize","2017-12-05 23:59:59","2017","12","Contabilidade"
"-49.5","Fatura Agilize","2017-09-28 23:59:59","2017","9","Contabilidade"
"-99","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-106.83","PIS","2018-01-25 23:59:59","2018","1","PIS"
"-1206.02","CSLL","2018-01-31 23:59:59","2018","1","CSLL"
"-44.88","Alimentação","2017-11-14 16:54:46","2017","11","Outras despesas"
"-149","Fatura Agilize","2017-09-28 23:59:59","2017","9","Contabilidade"
"-64","ISSsao_paulo","2017-10-10 23:59:59","2017","10","ISS"
"-119.33","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-3871.98","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-149","Fatura Agilize","2017-11-16 23:59:59","2017","11","Contabilidade"
"-99","Fatura Agilize","2017-12-26 23:59:59","2017","12","Contabilidade"
"-10","Fatura Agilize","2018-02-26 23:59:59","2018","2","Contabilidade"
"-518","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-198.92","ISSbrasilia","2017-09-20 23:59:59","2017","9","ISS"
"-99","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-66.38","PIS","2018-01-25 23:59:59","2018","1","PIS"
"-149","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-149","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-960","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-99","Fatura Agilize","2017-09-11 23:59:59","2017","9","Contabilidade"
"-415.8","INSS","2017-10-20 23:59:59","2017","10","INSS"
"-99","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-149","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-241.6","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-149","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-99","Fatura Agilize","2017-09-14 23:59:59","2017","9","Contabilidade"
"-99","Fatura Agilize","2017-08-07 23:59:59","2017","8","Contabilidade"
"-103.07","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-846.5","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-103.07","INSS","2018-01-31 23:59:59","2018","1","INSS"
"-99","Fatura Agilize","2018-01-10 23:59:59","2018","1","Contabilidade"
"-2679.21","CSLL","2018-01-31 23:59:59","2018","1","CSLL"
"-1088.4","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-468.8","DAS","2017-09-20 23:59:59","2017","8","Simples Nacional"
"-72.72","PIS","2018-01-25 23:59:59","2018","1","PIS"
"-709.44","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-99","Fatura Agilize","2017-11-16 23:59:59","2017","11","Contabilidade"
"-1071","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-49","Fatura Agilize","2017-11-27 23:59:59","2017","11","Contabilidade"
"-2669.48","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-914.81","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-88.2","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-220","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-937.8","DAS","2017-08-18 23:59:59","2017","6","Simples Nacional"
"-17500.96","ISSsao_paulo","2017-09-11 23:59:59","2017","9","ISS"
"-149","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-8033.35","DAS","2017-08-21 23:59:59","2017","7","Simples Nacional"
"-99","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-174.25","CSLL","2017-10-31 23:59:59","2017","10","CSLL"
"-99","Fatura Agilize","2018-01-25 23:59:59","2018","1","Contabilidade"
"-531.4","DAS","2017-09-22 23:59:59","2017","9","Simples Nacional"
"-290.47","INSS","2017-08-18 23:59:59","2017","8","INSS"
"-149","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-650.82","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-99","Fatura Agilize","2017-10-10 23:59:59","2017","10","Contabilidade"
"-109","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
"-99","Fatura Agilize","2017-08-21 23:59:59","2017","8","Contabilidade"
"-49","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-345.8","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-99","Fatura Agilize","2017-12-26 23:59:59","2017","12","Contabilidade"
"-123.06","DAS","2017-01-20 23:59:59","2017","1","Simples Nacional"
"-99","Fatura Agilize","2017-12-26 23:59:59","2017","12","Contabilidade"
"-103.07","INSS","2018-01-31 23:59:59","2018","1","INSS"
"-99","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
"-99","Fatura Agilize","2017-11-10 23:59:59","2017","11","Contabilidade"
"-99","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-49.5","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-324.86","CSLL","2017-11-06 23:59:59","2017","10","CSLL"
"-128","Fatura Agilize","2017-08-10 23:59:59","2017","8","Contabilidade"
"-660","DAS","2017-07-20 23:59:59","2017","6","Simples Nacional"
"-60.24","PIS","2017-09-25 23:59:59","2017","9","PIS"
"-159","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-52.1","TFF","2017-11-01 23:59:59","2017","10","Taxa de fiscalização municipal"
